"text","severity"
"Mild diarrhoea this morning, no blood, feeling okay","LOW"
"Severe depression, can't get out of bed for 2 weeks","MEDIUM"
"I've been dizzy for 24 hours","MEDIUM"
"I am experiencing new paralysis or severe weakness on one side of my face or body","HIGH"
"I have a severe cut that has severed a tendon and I can't move my fingers","CRITICAL"
"I have a small pimple that is slightly red","LOW"
"Sore muscles after gym yesterday","LOW"
"I have taken a poison and am now convulsing","CRITICAL"
"I have severe pain and numbness in my fingers after an injury","HIGH"
"I have blood in my stool that is dark, sticky, and tarry (melena)","HIGH"
"My tongue feels a bit rough","LOW"
"I have mild eye watering outside","LOW"
"I have a tiny rock stuck in my shoe","LOW"
"I have a fever and rash that has spread to my hands and soles of my feet","CRITICAL"
"Mild sunburn on my shoulders","LOW"
"I have mild soreness in my gums from flossing","LOW"
"I have a severe burn over my hands, face, and airway","CRITICAL"
"Severe head injury after car accident","HIGH"
"Suspected hairline fracture in my foot","MEDIUM"
"I have body aches and chills that make me shake noticeably","MEDIUM"
"Stomach pain spreading across abdomen, no fever","MEDIUM"
"I have pronounced pain that radiates from my back to my stomach","MEDIUM"
"I have a fever of 40.3 
∘
 C with a headache and sensitivity to light","HIGH"
"I have severe, rapid-onset weakness in all my limbs","HIGH"
"I have a head injury and am becoming increasingly agitated","HIGH"
"Sudden paralysis on one side of my body","CRITICAL"
"I have chapped lips that are a little painful","LOW"
"I have a pronounced allergic reaction (hives, itching, no throat swelling)","MEDIUM"
"Appendicitis, severe pain in lower right abdomen with fever","HIGH"
